Codes;Names;2012-12-31 00:00:00;2013-12-31 00:00:00;2014-12-31 00:00:00;2015-12-31 00:00:00;2016-12-31 00:00:00;2017-12-31 00:00:00;2018-12-31 00:00:00;2019-12-31 00:00:00;2020-12-31 00:00:00;2021-12-31 00:00:00;2022-12-31 00:00:00
010;010 - Brueckenkopf;29;33;31;33;34;33;32;34;35;35;50
011;011 - Altstadt Nordwest;69;65;70;69;66;63;65;67;67;66;74
012;012 - Altstadt Nordost;103;87;107;123;149;173;171;173;184;186;195
013;013 - Altstadt Suedost;18;20;24;25;25;19;20;23;25;21;28
014;014 - Altstadt Suedwest;125;130;133;134;145;149;148;164;162;166;177
015;015 - Probierlweg;118;113;116;114;116;114;122;124;120;121;133
016;016 - Gerolfinger Strasse;261;272;271;268;265;255;257;262;262;266;273
017;017 - Im Freihoefl;383;387;395;382;386;384;372;364;351;351;353
021;021 - Gabelsbergerstrasse;128;127;130;130;128;137;141;159;165;162;155
022;022 - Nordbahnhof;146;150;147;137;128;134;155;157;161;164;162
023;023 - Herschelstrasse;367;369;377;377;394;389;385;368;357;361;403
024;024 - Piusviertel;738;724;725;758;734;740;725;714;716;727;786
025;025 - AUDI-Bezirk;262;251;237;236;236;227;216;204;195;189;206
026;026 - Richard-Strauss-Strasse;290;286;281;274;264;254;248;230;249;250;281
031;031 - Schlachthofviertel;340;352;374;386;366;360;367;372;387;381;407
032;032 - Josephsviertel;496;509;535;534;534;532;519;531;548;559;598
033;033 - Gewerbegebiet Nord;8;6;9;11;10;10;10;10;9;7;5
034;034 - Am Wasserwerk;375;381;394;389;389;381;395;404;410;410;401
035;035 - Schubert&Salzer;267;261;266;275;276;286;283;287;310;327;355
036;036 - Konradviertel;395;390;411;414;408;411;439;418;440;432;434
041;041 - Ringsee;290;303;298;298;301;295;286;294;331;374;387
042;042 - Kothau;294;292;303;303;301;308;310;320;332;338;345
043;043 - Augustinviertel;517;519;544;560;543;547;552;565;580;591;630
044;044 - Monikaviertel;295;280;293;314;390;446;469;463;462;479;478
045;045 - Gewerbegebiet Suedost;14;10;7;9;9;9;8;8;9;5;7
046;046 - Niederfeld;80;86;89;96;95;95;94;94;97;94;93
047;047 - Rothenturm;59;61;69;94;102;111;111;109;120;125;118
048;048 - Am Auwaldsee;nan;nan;nan;nan;nan;nan;nan;nan;nan;nan;nan
051;051 - Am Suedfriedhof;277;271;276;262;250;251;253;254;253;245;245
052;052 - Haunwoehr;281;286;277;267;266;267;270;276;297;305;321
053;053 - Hundszell;224;226;218;208;212;205;205;220;216;227;226
054;054 - Knoglersfreude;74;75;69;70;63;60;58;61;61;66;64
055;055 - Herz-Jesu-Viertel;252;252;256;278;273;284;273;277;294;303;306
061;061 - Gerolfing Sued;264;261;257;257;251;250;251;245;256;245;258
062;062 - Irgertsheim;102;96;100;109;113;118;119;117;121;119;119
063;063 - Pettenhofen;51;47;50;48;43;46;54;59;70;74;73
064;064 - Muehlhausen;44;47;53;52;52;52;52;54;56;55;50
065;065 - Duenzlau;77;90;91;89;87;83;81;81;72;69;62
066;066 - Gerolfing Nord;273;286;293;300;286;290;306;315;311;295;298
071;071 - Etting Ost;216;211;212;199;201;197;189;187;177;193;191
072;072 - Etting West;382;395;389;382;376;381;384;388;391;392;389
081;081 - Oberhaunstadt;144;139;134;134;134;132;135;146;144;162;175
082;082 - Unterhaunstadt;230;229;221;227;220;238;244;253;259;270;261
083;083 - Muellerbadsiedlung;152;153;155;153;156;146;163;155;158;159;163
084;084 - Raffinerie-Bezirk;nan;nan;nan;nan;nan;nan;nan;nan;nan;nan;nan
091;091 - Feldkirchen;139;131;134;127;123;130;142;145;154;155;162
092;092 - Mailing (Fort Wrede);nan;nan;nan;nan;nan;nan;nan;nan;nan;nan;nan
093;093 - Mailing Nord;164;161;165;169;170;168;166;170;169;172;178
094;094 - Mailing Sued;230;223;232;225;223;220;221;216;218;218;213
101;101 - Zuchering Sued;340;331;333;342;355;369;385;386;374;373;377
102;102 - Winden;12;12;11;10;8;9;13;15;14;11;11
103;103 - Hagau;70;71;74;75;71;73;109;132;138;138;150
104;104 - Stangletten;nan;nan;nan;nan;nan;nan;nan;nan;nan;nan;nan
105;105 - Oberbrunnenreuth;54;59;60;61;64;65;68;69;67;68;67
106;106 - Spitalhof;85;89;88;85;83;81;87;101;101;106;109
107;107 - Unterbrunnenreuth;256;257;260;257;256;252;252;254;243;244;237
108;108 - Zuchering Nord;105;105;107;107;94;99;98;103;108;103;110
109;109 - Seehof;70;75;83;77;77;78;75;74;78;71;70
111;111 - Hollerstauden;358;348;374;373;377;374;378;400;416;418;428
112;112 - Friedrichshofen;402;401;388;380;405;444;491;517;535;565;590
113;113 - Gaimersheimer Heide;50;60;63;65;69;66;67;71;66;68;67
121;121 - Antonviertel;533;560;543;528;519;520;536;542;564;558;570
122;122 - Bahnhofsviertel;511;518;525;546;518;522;528;535;516;528;540
123;123 - Unsernherrn;244;255;250;242;255;247;249;252;264;281;290
#Gesamt;Stadt Ingolstadt;13134;13185;13379;13448;13445;13581;13804;13990;14248;14446;14907
