Codes;Names;2011-12-31 00:00:00;2012-12-31 00:00:00;2013-12-31 00:00:00;2014-12-31 00:00:00;2015-12-31 00:00:00;2016-12-31 00:00:00;2017-12-31 00:00:00;2018-12-31 00:00:00;2019-12-31 00:00:00;2020-12-31 00:00:00;2021-12-31 00:00:00;2022-12-31 00:00:00
010;010 - Brueckenkopf;328;331;345;339;343;351;371;356;370;347;362;358
011;011 - Altstadt Nordwest;557;573;596;616;628;678;692;694;679;670;676;666
012;012 - Altstadt Nordost;1275;1305;1334;1380;1453;1540;1594;1622;1650;1676;1736;1745
013;013 - Altstadt Suedost;573;583;583;582;595;575;585;594;567;571;584;552
014;014 - Altstadt Suedwest;1271;1286;1283;1302;1343;1371;1413;1414;1421;1424;1396;1376
015;015 - Probierlweg;796;796;818;824;815;867;876;867;892;918;902;926
016;016 - Gerolfinger Strasse;1684;1688;1688;1720;1750;1758;1787;1801;1842;1865;1859;1862
017;017 - Im Freihoefl;1803;1799;1831;1881;1889;1923;1958;1926;1985;1965;1972;1991
021;021 - Gabelsbergerstrasse;807;815;834;882;912;944;954;957;987;1031;1008;995
022;022 - Nordbahnhof;821;830;902;923;924;924;921;956;976;976;987;983
023;023 - Herschelstrasse;1087;1140;1132;1159;1161;1187;1215;1258;1242;1239;1239;1253
024;024 - Piusviertel;2558;2604;2582;2600;2658;2669;2686;2684;2716;2771;2790;2805
025;025 - AUDI-Bezirk;20407;25017;26976;27704;28769;29324;27349;28519;29962;25146;24476;25289
026;026 - Richard-Strauss-Strasse;915;933;926;909;906;928;916;924;963;988;978;963
031;031 - Schlachthofviertel;1973;1944;2008;2086;2218;2288;2328;2380;2562;2441;2466;2589
032;032 - Josephsviertel;2369;2425;2448;2471;2521;2570;2670;2694;2758;2880;2918;2912
033;033 - Gewerbegebiet Nord;335;352;381;399;417;423;428;447;458;516;545;581
034;034 - Am Wasserwerk;5929;2480;2510;2518;2591;2597;2606;2634;2840;2904;2897;2931
035;035 - Schubert&Salzer;1673;1758;1758;1808;1865;1804;1823;1843;1931;2051;1905;1865
036;036 - Konradviertel;1440;1537;1536;1570;1642;1661;1721;1754;1865;1884;1891;1855
041;041 - Ringsee;1815;1868;1890;1909;1908;1952;1957;2011;2005;2085;2130;2126
042;042 - Kothau;1808;1781;1814;1816;1810;1833;1869;1923;1970;2010;2030;2047
043;043 - Augustinviertel;2613;2680;2697;2809;2847;2907;2912;2966;3058;3196;3159;3157
044;044 - Monikaviertel;1329;1332;1391;1464;1563;1717;1896;1961;2014;2075;2077;2148
045;045 - Gewerbegebiet Suedost;1959;2044;2007;2051;2106;2014;2144;2261;2522;2480;2562;3145
